ID,label_1,label_2,label_3,label_4
1,26,22,0,2
2,18,25,1,8
3,16,30,1,6
4,7,27,1,6
5,58,29,0,6
6,46,30,1,6
7,7,27,1,6
8,22,33,1,6
9,29,23,1,6
10,26,22,0,2
11,33,26,1,6
12,2,23,1,6
13,54,27,1,6
14,51,26,1,6
15,29,23,1,6
16,48,26,1,6
17,23,28,1,6
18,2,25,1,6
19,43,31,0,6
20,42,29,1,0
21,11,33,1,6
22,35,24,1,2
23,39,29,1,6
24,7,25,0,6
25,21,26,1,6
26,48,27,1,6
27,28,28,0,6
28,55,23,1,6
29,2,25,1,6
30,51,26,1,6
31,55,23,1,6
32,46,30,1,6
33,1,30,1,6
34,56,24,0,6
35,30,28,1,6
36,22,27,1,6
37,50,26,1,6
38,6,25,1,4
39,40,26,1,6
40,18,25,1,8
41,19,23,1,6
42,47,23,0,3
43,6,25,1,6
44,46,30,1,6
45,59,31,0,6
46,25,22,1,1
47,31,26,1,6
48,38,25,1,6
49,5,25,1,6
50,32,23,1,0
51,25,22,1,1
52,56,24,0,6
53,39,29,1,6
54,37,27,1,7
55,32,23,1,0
56,29,26,1,6
57,46,30,1,6
58,52,34,0,6
59,28,28,0,6
60,34,25,1,6
61,16,23,1,6
62,47,23,0,3
63,55,23,1,6
64,24,26,1,2
65,23,28,1,6
66,18,25,1,6
67,20,25,1,6
68,6,25,1,6
69,36,22,0,6
70,38,27,1,6
71,22,33,1,6
72,28,22,0,2
73,44,61,1,6
74,46,30,1,6
75,55,23,1,6
76,59,22,0,6
77,49,26,1,6
78,25,26,1,6
79,57,27,0,6
80,12,26,0,6
81,52,34,0,5
82,38,32,1,12
83,29,28,1,6
84,4,23,1,6
85,31,26,1,6
86,49,26,1,6
87,14,31,1,12
88,19,23,1,4
89,12,26,0,6
90,39,29,1,6
91,36,22,0,6
92,43,31,0,6
93,34,25,1,6
94,32,23,1,0
95,54,27,1,6
96,46,30,1,6
97,27,31,1,7
98,5,25,1,6
99,7,27,1,6
100,42,29,1,0
101,19,23,1,4
102,26,22,0,2
103,31,26,1,6
104,36,22,0,6
105,53,24,1,6
106,10,36,1,6
107,12,26,0,6
108,33,32,1,6
109,54,32,1,6
110,2,25,1,6
111,57,27,0,6
112,37,26,1,6
113,17,27,1,6
114,50,24,1,6
115,46,30,1,6
116,46,30,1,6
117,17,26,1,6
118,34,26,1,6
119,32,23,1,6
120,40,26,1,6
121,19,26,1,6
122,40,26,1,6
123,8,41,1,6
124,22,33,1,6
125,38,32,1,12
126,15,28,1,9
127,39,26,1,6
128,9,35,1,11
129,52,34,0,5
130,37,25,1,6
131,28,26,0,6
132,13,27,1,6
133,10,36,1,6
134,55,23,1,6
135,28,28,0,6
136,25,22,1,1
137,33,22,1,6
138,57,27,0,6
139,16,30,1,6
140,27,31,1,7
141,23,26,1,6
142,2,27,1,6
143,51,26,1,6
144,27,31,1,7
145,32,23,1,0
146,46,26,1,6
147,16,30,1,6
148,53,26,1,6
149,11,33,1,6
150,46,30,1,6
151,42,29,1,0
152,37,27,1,7
153,47,23,0,3
154,50,24,1,6
155,3,31,1,6
156,41,26,1,6
157,19,23,1,4
158,20,25,1,6
159,15,28,1,9
160,8,41,1,6
161,3,25,1,6
162,18,25,1,8
163,5,25,1,6
164,28,28,0,6
165,46,30,1,6
166,49,22,1,6
167,16,24,1,6
168,40,26,1,6
169,17,26,1,6
170,20,23,1,6
171,53,24,1,6
172,57,27,0,6
173,41,29,1,0
174,16,30,1,6
175,11,33,1,6
176,35,24,1,6
177,34,25,1,6
178,52,34,0,5
179,41,30,1,10
180,20,23,1,6
181,1,27,1,6
182,18,25,1,6
183,21,26,1,6
184,4,23,1,6
185,37,27,1,6
186,55,23,1,6
187,29,61,1,6
188,28,28,0,6
189,23,28,1,6
190,35,24,1,2
191,46,30,1,6
192,52,34,0,5
193,30,28,1,6
194,27,31,1,6
195,13,27,1,6
196,7,24,1,6
197,28,28,0,6
198,14,25,1,6
199,3,31,1,6
200,36,22,0,6
201,17,26,1,6
202,60,27,0,13
203,18,31,1,6
204,3,31,1,6
205,22,33,1,6
206,9,35,1,11
207,31,26,1,6
208,25,22,1,1
209,35,26,1,6
210,26,22,0,2
211,19,23,1,4
212,36,22,0,6
213,12,22,0,6
214,21,26,1,6
215,1,30,1,6
216,44,29,1,6
217,39,29,1,6
218,47,23,0,3
219,38,32,1,6
220,6,25,1,6
221,50,24,1,6
222,39,29,1,6
223,23,28,1,6
224,37,25,1,6
225,55,26,1,6
226,22,33,1,6
227,58,29,0,6
228,15,28,1,9
229,30,28,1,6
230,38,32,1,12
231,18,25,1,8
232,54,27,1,6
233,3,61,1,6
234,41,30,1,10
235,16,30,1,6
236,8,41,1,6
237,43,31,0,6
238,14,24,0,6
239,8,41,1,6
240,57,27,0,6
241,10,36,1,6
242,16,30,1,6
243,4,23,1,6
244,20,25,1,6
245,15,28,1,9
246,51,26,1,6
247,56,24,0,6
248,33,33,1,6
249,16,30,1,6
250,33,26,1,6
251,50,24,1,6
252,6,26,1,6
253,5,25,1,6
254,59,26,0,6
255,31,26,1,6
256,6,25,1,6
257,9,35,1,11
258,31,26,1,6
259,57,27,0,6
260,22,33,1,6
261,5,25,1,6
262,11,33,1,6
263,11,33,1,6
264,43,31,0,6
265,8,41,1,6
266,7,27,1,6
267,58,29,0,6
268,50,28,1,6
269,50,24,1,6
270,58,29,0,6
271,13,27,1,6
272,3,27,1,6
273,52,23,0,3
274,50,24,1,6
275,60,27,0,13
276,50,24,1,6
277,47,23,0,6
278,36,22,0,6
279,28,28,0,6
280,36,22,0,6
281,49,26,1,6
282,7,26,1,6
283,34,25,1,6
284,32,23,1,0
285,5,25,1,6
286,2,25,1,6
287,19,23,1,4
288,55,23,1,6
289,57,27,0,6
290,50,24,1,6
291,30,28,1,6
292,31,23,1,0
293,41,30,1,10
294,37,27,1,7
295,41,30,1,10
296,51,26,1,6
297,20,25,1,6
298,20,23,1,6
299,38,26,1,6
300,21,26,1,6
301,44,61,1,6
302,31,26,1,6
303,15,28,1,9
304,40,26,1,6
305,46,30,1,6
306,41,24,1,6
307,21,26,1,6
308,25,22,1,1
309,36,23,0,6
310,44,61,1,6
311,54,27,1,6
312,17,25,1,6
313,46,30,1,6
314,57,27,0,6
315,56,22,0,2
316,53,24,1,6
317,26,22,0,2
318,27,41,0,6
319,17,26,1,6
320,5,25,1,6
321,39,26,1,6
322,28,26,0,6
323,8,41,1,6
324,32,23,1,0
325,21,26,1,6
326,49,26,1,6
327,56,24,0,6
328,17,26,1,6
329,26,22,0,2
330,49,26,1,6
331,54,27,1,6
332,10,36,1,6
333,9,35,1,11
334,3,31,1,6
335,36,22,0,6
336,39,26,1,6
337,27,26,1,6
338,18,30,1,6
339,54,27,1,6
340,29,23,1,6
341,23,28,1,6
342,10,36,1,6
343,11,33,1,6
344,56,23,0,3
345,37,27,1,7
346,39,26,1,6
347,41,23,1,6
348,35,24,1,6
349,25,22,1,1
350,27,31,1,7
351,4,23,1,6
352,51,26,1,6
353,12,26,0,6
354,33,26,1,6
355,42,29,1,0
356,45,26,1,6
357,44,61,1,6
358,23,28,1,6
359,6,25,1,6
360,12,26,0,6
361,30,28,1,6
362,40,26,1,6
363,56,24,0,6
364,27,26,1,6
365,8,41,1,6
366,44,61,1,6
367,15,28,1,9
368,59,31,0,6
369,21,29,1,6
370,39,29,1,6
371,29,23,1,6
372,28,28,0,6
373,7,27,1,6
374,31,26,1,6
375,3,31,1,6
376,59,23,0,6
377,3,31,1,6
378,24,26,0,6
379,10,31,1,6
380,60,27,0,13
381,58,29,0,6
382,42,22,1,6
383,10,36,1,6
384,31,26,1,6
385,60,27,0,13
386,23,28,1,6
387,7,27,1,6
388,19,23,1,6
389,18,25,1,8
390,43,31,0,6
391,11,33,1,6
392,50,27,1,6
393,2,23,1,6
394,23,28,1,6
395,41,25,1,6
396,15,23,1,6
397,54,23,1,6
398,46,23,1,6
399,40,26,1,6
400,53,24,1,6
401,7,22,1,6
402,20,25,1,6
403,21,26,1,6
404,35,24,1,2
405,31,26,1,6
406,58,29,0,6
407,6,25,1,6
408,29,22,1,6
409,52,34,0,5
410,29,23,1,6
411,55,26,1,6
412,21,26,1,6
413,60,26,0,6
414,50,24,1,6
415,28,28,0,6
416,47,23,0,6
417,50,24,1,6
418,27,31,1,7
419,30,25,1,6
420,44,61,1,6
421,24,26,1,2
422,8,41,1,6
423,38,32,1,12
424,51,26,1,6
425,37,61,1,6
426,23,28,1,6
427,8,41,1,6
428,18,25,1,8
429,11,33,1,6
430,13,27,1,6
431,8,41,1,6
432,15,28,1,9
433,5,26,1,6
434,39,29,1,6
435,11,33,1,6
436,39,29,1,6
437,31,26,1,6
438,58,29,0,6
439,60,27,0,13
440,52,34,0,5
441,30,28,1,6
442,31,26,1,6
443,5,25,1,6
444,29,23,1,6
445,33,26,1,6
446,10,36,1,6
447,8,26,1,6
448,21,26,1,6
449,51,26,1,6
450,21,26,1,6
451,50,24,1,6
452,55,23,1,6
453,19,23,1,4
454,49,26,1,6
455,47,23,0,13
456,38,32,1,12
457,52,28,0,6
458,6,25,1,6
459,17,26,1,6
460,11,33,1,6
461,40,26,1,6
462,17,26,1,6
463,30,28,1,6
464,4,30,1,6
465,4,23,1,6
466,36,22,0,6
467,30,28,1,6
468,58,29,0,6
469,57,27,0,6
470,46,24,1,6
471,18,25,1,8
472,37,27,1,7
473,57,27,0,6
474,57,22,0,6
475,14,31,1,12
476,13,27,1,6
477,13,27,1,6
478,30,28,1,6
479,41,30,1,10
480,57,27,0,6
481,25,22,1,6
482,16,30,1,6
483,43,31,0,6
484,36,22,0,6
485,13,27,1,6
486,43,31,0,6
487,23,28,1,6
488,37,27,1,7
489,29,23,1,6
490,6,25,1,6
491,48,26,1,6
492,33,26,1,6
493,29,23,1,6
494,29,26,1,2
495,13,27,1,6
496,29,23,1,6
497,42,26,1,6
498,55,26,1,6
499,13,27,1,6
500,27,31,1,7
501,51,26,1,6
502,22,33,1,6
503,22,33,1,6
504,49,26,1,6
505,38,35,1,11
506,46,30,1,6
507,56,24,0,6
508,12,26,0,6
509,30,28,1,6
510,56,24,0,6
511,52,34,0,5
512,40,26,1,6
513,32,23,1,0
514,16,30,1,6
515,37,27,1,7
516,41,30,1,10
517,26,22,0,2
518,5,22,1,6
519,42,29,1,0
520,11,33,1,6
521,36,22,0,6
522,47,23,0,3
523,23,28,1,6
524,16,30,1,6
525,29,23,1,6
526,18,25,1,8
527,47,23,0,3
528,23,28,1,6
529,22,33,1,6
530,40,23,1,6
531,27,31,1,6
532,33,26,1,6
533,14,31,1,6
534,40,26,1,6
535,40,26,1,6
536,18,25,1,6
537,31,26,1,6
538,1,30,1,6
539,7,27,1,6
540,59,31,0,6
541,28,28,0,6
542,44,61,1,6
543,56,27,0,6
544,57,27,0,6
545,3,31,1,6
546,49,28,1,6
547,25,27,1,7
548,21,26,1,6
549,34,25,1,6
550,32,23,1,0
551,56,23,0,6
552,44,61,1,6
553,37,27,1,7
554,38,32,1,12
555,2,25,1,6
556,22,33,1,6
557,33,26,1,6
558,53,24,1,6
559,32,23,1,0
560,41,31,1,6
561,49,22,1,6
562,55,23,1,6
563,31,26,1,6
564,33,26,1,6
565,31,23,1,6
566,27,31,1,7
567,48,26,1,6
568,30,28,1,6
569,24,26,1,2
570,54,27,1,6
571,26,22,0,2
572,36,22,0,6
573,15,28,1,9
574,35,24,1,2
575,17,26,1,6
576,16,30,1,6
577,4,23,1,6
578,17,26,1,6
579,27,31,1,7
580,10,36,1,6
581,12,26,0,6
582,33,26,1,6
583,6,25,1,6
584,47,23,0,3
585,21,26,1,6
586,4,25,1,6
587,48,26,1,6
588,55,23,1,6
589,16,30,1,6
590,42,29,1,6
591,49,26,1,6
592,20,31,1,6
593,24,26,1,2
594,39,29,1,6
595,42,26,1,6
596,33,29,1,6
597,57,31,0,6
598,41,30,1,10
599,1,30,1,6
600,49,26,1,6
601,46,30,1,6
602,2,23,1,6
603,40,26,1,6
604,60,23,1,6
605,19,23,1,4
606,18,25,1,8
607,43,31,0,6
608,28,23,0,6
609,57,27,0,6
610,16,30,1,6
611,51,26,1,6
612,1,30,1,6
613,2,25,1,6
614,49,26,1,6
615,59,31,0,6
616,18,25,1,8
617,8,41,1,6
618,37,27,1,6
619,32,23,1,0
620,32,23,1,0
621,57,27,0,6
622,55,23,1,6
623,5,25,1,6
624,30,28,1,6
625,26,22,0,2
626,18,31,1,6
627,47,26,1,6
628,9,35,1,11
629,12,26,0,6
630,15,28,1,6
631,11,33,1,6
632,19,23,1,4
633,37,27,1,7
634,53,24,1,6
635,19,23,1,6
636,4,41,1,6
637,17,26,1,6
638,14,26,1,12
639,4,23,1,6
640,34,26,1,6
641,22,33,1,6
642,32,23,1,0
643,27,31,1,7
644,15,28,1,9
645,3,31,1,6
646,25,22,1,1
647,50,24,1,6
648,8,41,1,6
649,53,24,1,6
650,30,28,1,6
651,13,27,1,6
652,25,22,1,1
653,60,27,0,13
654,40,26,1,6
655,11,33,1,6
656,38,27,1,6
657,18,23,1,6
658,44,61,1,6
659,55,23,1,6
660,52,34,0,5
661,20,26,1,6
662,34,25,1,6
663,2,25,1,6
664,59,31,0,6
665,59,26,0,6
666,8,23,1,6
667,54,27,1,6
668,37,27,1,7
669,43,31,0,6
670,1,30,1,6
671,32,23,1,0
672,50,24,1,6
673,51,26,1,6
674,9,35,1,6
675,32,23,1,0
676,5,25,1,6
677,31,26,1,6
678,1,30,1,6
679,46,30,1,6
680,37,23,1,7
681,19,23,1,4
682,24,26,1,2
683,38,26,1,6
684,59,22,0,6
685,6,25,1,6
686,51,26,0,6
687,20,25,1,6
688,14,23,1,6
689,25,26,1,6
690,2,25,1,6
691,60,27,0,13
692,10,36,1,6
693,42,29,1,0
694,48,26,1,6
695,11,33,1,6
696,43,31,0,6
697,39,29,1,6
698,8,26,1,6
699,50,24,1,6
700,30,28,1,6
701,15,28,1,9
702,2,25,1,6
703,9,35,1,11
704,1,23,1,6
705,22,33,1,6
706,44,61,1,6
707,16,30,1,6
708,7,31,1,6
709,31,26,1,6
710,24,26,1,6
711,52,27,0,5
712,50,24,1,6
713,1,30,1,6
714,47,23,0,3
715,19,23,1,4
716,10,36,1,6
717,59,22,0,6
718,43,31,0,6
719,21,26,1,6
720,44,61,1,6
721,48,26,1,6
722,22,33,1,6
723,1,23,1,6
724,20,25,1,6
725,23,28,1,6
726,33,26,1,6
727,53,24,1,6
728,33,26,1,6
729,51,26,1,6
730,4,23,0,6
731,46,27,1,6
732,59,31,0,6
733,28,28,0,6
734,55,23,1,6
735,50,24,1,6
736,56,24,0,6
737,26,22,0,2
738,19,23,1,6
739,39,25,1,6
740,56,26,1,6
741,31,24,1,2
742,54,23,1,6
743,38,32,1,12
744,21,27,1,6